# labeling started 2026-06-22T16:25:38.704468Z  days=620
20241212  rows=86400  flare_seconds=8828  flare_events=9  classes={'B': 0, 'C': 6846, 'M': 1982, 'X': 0}  time=0.2s
20241213  rows=86400  flare_seconds=17537  flare_events=20  classes={'B': 0, 'C': 14113, 'M': 3424, 'X': 0}  time=0.2s
20241214  rows=86400  flare_seconds=13268  flare_events=10  classes={'B': 0, 'C': 13268, 'M': 0, 'X': 0}  time=0.1s
20241215  rows=86400  flare_seconds=19031  flare_events=19  classes={'B': 0, 'C': 19031, 'M': 0, 'X': 0}  time=0.2s
20241216  rows=86400  flare_seconds=5106  flare_events=7  classes={'B': 0, 'C': 5106, 'M': 0, 'X': 0}  time=0.2s
20241217  rows=86400  flare_seconds=7267  flare_events=7  classes={'B': 0, 'C': 7267, 'M': 0, 'X': 0}  time=0.2s
20241218  rows=86400  flare_seconds=5706  flare_events=6  classes={'B': 0, 'C': 5706, 'M': 0, 'X': 0}  time=0.2s
20241219  rows=86400  flare_seconds=14953  flare_events=14  classes={'B': 0, 'C': 11590, 'M': 3363, 'X': 0}  time=0.2s
20241220  rows=86400  flare_seconds=8171  flare_events=11  classes={'B': 0, 'C': 6849, 'M': 1322, 'X': 0}  time=0.1s
20241221  rows=86400  flare_seconds=7989  flare_events=10  classes={'B': 0, 'C': 7448, 'M': 541, 'X': 0}  time=0.2s
20241224  rows=86400  flare_seconds=15251  flare_events=14  classes={'B': 0, 'C': 8704, 'M': 6547, 'X': 0}  time=0.2s
20241225  rows=86400  flare_seconds=9428  flare_events=9  classes={'B': 0, 'C': 7446, 'M': 1982, 'X': 0}  time=0.2s
20241228  rows=86400  flare_seconds=13507  flare_events=8  classes={'B': 0, 'C': 10684, 'M': 2823, 'X': 0}  time=0.2s
20241229  rows=86400  flare_seconds=28280  flare_events=24  classes={'B': 0, 'C': 721, 'M': 25998, 'X': 1561}  time=0.2s
20241230  rows=86400  flare_seconds=20059  flare_events=22  classes={'B': 0, 'C': 4867, 'M': 13270, 'X': 1922}  time=0.2s
20241231  rows=86400  flare_seconds=16269  flare_events=10  classes={'B': 0, 'C': 9426, 'M': 6843, 'X': 0}  time=0.2s
20250101  rows=86400  flare_seconds=18550  flare_events=14  classes={'B': 0, 'C': 12846, 'M': 5704, 'X': 0}  time=0.2s
20250102  rows=86400  flare_seconds=7144  flare_events=4  classes={'B': 0, 'C': 4683, 'M': 2461, 'X': 0}  time=0.2s
20250103  rows=86400  flare_seconds=15670  flare_events=11  classes={'B': 0, 'C': 9606, 'M': 3722, 'X': 2342}  time=0.2s
20250104  rows=86400  flare_seconds=29534  flare_events=14  classes={'B': 0, 'C': 24069, 'M': 4144, 'X': 1321}  time=0.2s
20250105  rows=86400  flare_seconds=11648  flare_events=9  classes={'B': 0, 'C': 3004, 'M': 8644, 'X': 0}  time=0.2s
20250106  rows=86400  flare_seconds=18014  flare_events=14  classes={'B': 0, 'C': 13511, 'M': 4503, 'X': 0}  time=0.2s
20250107  rows=86400  flare_seconds=10266  flare_events=6  classes={'B': 0, 'C': 6245, 'M': 4021, 'X': 0}  time=0.2s
20250108  rows=86400  flare_seconds=6487  flare_events=7  classes={'B': 0, 'C': 6487, 'M': 0, 'X': 0}  time=0.2s
20250109  rows=86400  flare_seconds=22745  flare_events=7  classes={'B': 0, 'C': 21844, 'M': 901, 'X': 0}  time=0.2s
20250110  rows=86400  flare_seconds=8047  flare_events=7  classes={'B': 0, 'C': 6606, 'M': 1441, 'X': 0}  time=0.2s
20250111  rows=86400  flare_seconds=4443  flare_events=4  classes={'B': 0, 'C': 4443, 'M': 0, 'X': 0}  time=0.2s
20250114  rows=86400  flare_seconds=6847  flare_events=7  classes={'B': 0, 'C': 6847, 'M': 0, 'X': 0}  time=0.2s
20250115  rows=86400  flare_seconds=5827  flare_events=7  classes={'B': 0, 'C': 5827, 'M': 0, 'X': 0}  time=0.2s
20250116  rows=86400  flare_seconds=6006  flare_events=7  classes={'B': 0, 'C': 6006, 'M': 0, 'X': 0}  time=0.2s
20250117  rows=86400  flare_seconds=28282  flare_events=27  classes={'B': 0, 'C': 19273, 'M': 9009, 'X': 0}  time=0.2s
20250118  rows=86400  flare_seconds=10993  flare_events=15  classes={'B': 0, 'C': 8951, 'M': 2042, 'X': 0}  time=0.2s
20250119  rows=86400  flare_seconds=11472  flare_events=14  classes={'B': 0, 'C': 10991, 'M': 481, 'X': 0}  time=0.2s
20250120  rows=86400  flare_seconds=4206  flare_events=6  classes={'B': 0, 'C': 4206, 'M': 0, 'X': 0}  time=0.2s
20250122  rows=86400  flare_seconds=10326  flare_events=6  classes={'B': 0, 'C': 7265, 'M': 3061, 'X': 0}  time=0.2s
20250123  rows=86400  flare_seconds=8229  flare_events=10  classes={'B': 0, 'C': 8229, 'M': 0, 'X': 0}  time=0.2s
20250124  rows=86400  flare_seconds=9725  flare_events=6  classes={'B': 0, 'C': 7984, 'M': 1741, 'X': 0}  time=0.2s
20250125  rows=86400  flare_seconds=10931  flare_events=11  classes={'B': 0, 'C': 10931, 'M': 0, 'X': 0}  time=0.2s
20250126  rows=86400  flare_seconds=6785  flare_events=7  classes={'B': 0, 'C': 6785, 'M': 0, 'X': 0}  time=0.2s
20250128  rows=86400  flare_seconds=6245  flare_events=6  classes={'B': 0, 'C': 5764, 'M': 481, 'X': 0}  time=0.2s
20250131  rows=86400  flare_seconds=18135  flare_events=17  classes={'B': 0, 'C': 12672, 'M': 5463, 'X': 0}  time=0.2s
20250201  rows=86400  flare_seconds=8289  flare_events=9  classes={'B': 0, 'C': 7748, 'M': 541, 'X': 0}  time=0.2s
20250202  rows=86400  flare_seconds=21316  flare_events=20  classes={'B': 0, 'C': 14530, 'M': 6786, 'X': 0}  time=0.2s
20250208  rows=86400  flare_seconds=14534  flare_events=15  classes={'B': 0, 'C': 11893, 'M': 2641, 'X': 0}  time=0.2s
20250209  rows=86400  flare_seconds=7446  flare_events=6  classes={'B': 0, 'C': 7446, 'M': 0, 'X': 0}  time=0.2s
20250210  rows=86400  flare_seconds=5586  flare_events=6  classes={'B': 0, 'C': 3665, 'M': 1921, 'X': 0}  time=0.2s
20250211  rows=86400  flare_seconds=19029  flare_events=10  classes={'B': 0, 'C': 17528, 'M': 1501, 'X': 0}  time=0.2s
20250212  rows=86400  flare_seconds=4983  flare_events=3  classes={'B': 0, 'C': 4983, 'M': 0, 'X': 0}  time=0.2s
20250213  rows=86400  flare_seconds=8948  flare_events=8  classes={'B': 0, 'C': 8467, 'M': 481, 'X': 0}  time=0.2s
20250214  rows=86400  flare_seconds=9547  flare_events=7  classes={'B': 0, 'C': 4684, 'M': 4863, 'X': 0}  time=0.2s
